"Plot Title: BS-T1"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10451243, SEN S/N: 10451243)","Coupler Attached (LGR S/N: 10451243, SEN S/N: 10451243)","Stopped (LGR S/N: 10451243, SEN S/N: 10451243)","End Of File (LGR S/N: 10451243, SEN S/N: 10451243)"
1,02/19/15 10:38:02 PM,2.410,,,
2,02/19/15 10:39:02 PM,2.303,,,
3,02/19/15 10:40:02 PM,2.303,,,
4,02/19/15 10:41:02 PM,2.195,,,
5,02/19/15 10:42:02 PM,2.195,,,
6,02/19/15 10:43:02 PM,2.195,,,
7,02/19/15 10:44:02 PM,2.303,,,
8,02/19/15 10:45:02 PM,2.303,,,
9,02/19/15 10:46:02 PM,2.303,,,
10,02/19/15 10:47:02 PM,2.410,,,
11,02/19/15 10:48:02 PM,2.303,,,
12,02/19/15 10:49:02 PM,2.410,,,
13,02/19/15 10:50:02 PM,2.410,,,
14,02/19/15 10:51:02 PM,2.410,,,
15,02/19/15 10:52:02 PM,2.410,,,
16,02/19/15 10:53:02 PM,2.410,,,
17,02/19/15 10:54:02 PM,2.410,,,
18,02/19/15 10:55:02 PM,2.410,,,
19,02/19/15 10:56:02 PM,2.410,,,
20,02/19/15 10:57:02 PM,2.303,,,
21,02/19/15 10:58:02 PM,2.303,,,
22,02/19/15 10:59:02 PM,2.195,,,
23,02/19/15 11:00:02 PM,2.195,,,
24,02/19/15 11:01:02 PM,2.195,,,
25,02/19/15 11:02:02 PM,2.195,,,
26,02/19/15 11:03:02 PM,2.195,,,
27,02/19/15 11:04:02 PM,2.195,,,
28,02/19/15 11:05:02 PM,2.195,,,
29,02/19/15 11:06:02 PM,2.195,,,
30,02/19/15 11:07:02 PM,2.195,,,
31,02/19/15 11:08:02 PM,2.195,,,
32,02/19/15 11:09:02 PM,2.303,,,
33,02/19/15 11:10:02 PM,2.195,,,
34,02/19/15 11:11:02 PM,2.303,,,
35,02/19/15 11:12:02 PM,2.303,,,
36,02/19/15 11:13:02 PM,2.303,,,
37,02/19/15 11:14:02 PM,2.303,,,
38,02/19/15 11:15:02 PM,2.195,,,
39,02/19/15 11:16:02 PM,2.195,,,
40,02/19/15 11:17:02 PM,2.195,,,
41,02/19/15 11:18:02 PM,2.195,,,
42,02/19/15 11:19:02 PM,2.088,,,
43,02/19/15 11:20:02 PM,2.088,,,
44,02/19/15 11:21:02 PM,2.195,,,
45,02/19/15 11:22:02 PM,2.088,,,
46,02/19/15 11:23:02 PM,2.088,,,
47,02/19/15 11:24:02 PM,2.088,,,
48,02/19/15 11:25:02 PM,2.088,,,
49,02/19/15 11:26:02 PM,2.088,,,
50,02/19/15 11:27:02 PM,2.195,,,
51,02/19/15 11:28:02 PM,2.195,,,
52,02/19/15 11:29:02 PM,2.195,,,
53,02/19/15 11:30:02 PM,2.088,,,
54,02/19/15 11:31:02 PM,2.195,,,
55,02/19/15 11:32:02 PM,2.195,,,
56,02/19/15 11:33:02 PM,2.195,,,
57,02/19/15 11:34:02 PM,2.195,,,
58,02/19/15 11:35:02 PM,2.195,,,
59,02/19/15 11:36:02 PM,2.195,,,
60,02/19/15 11:37:02 PM,2.195,,,
61,02/19/15 11:38:02 PM,2.088,,,
62,02/19/15 11:39:02 PM,2.088,,,
63,02/19/15 11:40:02 PM,2.088,,,
64,02/19/15 11:41:02 PM,2.088,,,
65,02/19/15 11:42:02 PM,2.088,,,
66,02/19/15 11:43:02 PM,2.088,,,
67,02/19/15 11:44:02 PM,2.088,,,
68,02/19/15 11:45:02 PM,2.088,,,
69,02/19/15 11:46:02 PM,2.088,,,
70,02/19/15 11:47:02 PM,2.088,,,
71,02/19/15 11:48:02 PM,1.980,,,
72,02/19/15 11:49:02 PM,1.980,,,
73,02/19/15 11:50:02 PM,2.088,,,
74,02/19/15 11:51:02 PM,2.088,,,
75,02/19/15 11:52:02 PM,2.088,,,
76,02/19/15 11:53:02 PM,2.088,,,
77,02/19/15 11:54:02 PM,1.980,,,
78,02/19/15 11:55:02 PM,1.872,,,
79,02/19/15 11:56:02 PM,1.872,,,
80,02/19/15 11:57:02 PM,1.980,,,
81,02/19/15 11:58:02 PM,1.980,,,
82,02/19/15 11:59:02 PM,1.980,,,
83,02/20/15 12:00:02 AM,1.980,,,
84,02/20/15 12:01:02 AM,1.980,,,
85,02/20/15 12:02:02 AM,2.088,,,
86,02/20/15 12:03:02 AM,1.980,,,
87,02/20/15 12:04:02 AM,1.980,,,
88,02/20/15 12:05:02 AM,1.980,,,
89,02/20/15 12:06:02 AM,1.872,,,
90,02/20/15 12:07:02 AM,1.872,,,
91,02/20/15 12:08:02 AM,1.980,,,
92,02/20/15 12:09:02 AM,1.980,,,
93,02/20/15 12:10:02 AM,1.980,,,
94,02/20/15 12:11:02 AM,1.980,,,
95,02/20/15 12:12:02 AM,1.980,,,
96,02/20/15 12:13:02 AM,1.980,,,
97,02/20/15 12:14:02 AM,1.980,,,
98,02/20/15 12:15:02 AM,1.980,,,
