"Plot Title: BS4-Cond"
"#","Date Time, GMT+00:00","Low Range, μS/cm (LGR S/N: 10559468, SEN S/N: 10559468)","Temp, °C (LGR S/N: 10559468, SEN S/N: 10559468)","Coupler Detached (LGR S/N: 10559468)","Coupler Attached (LGR S/N: 10559468)","Stopped (LGR S/N: 10559468)","End Of File (LGR S/N: 10559468)"
1,01/09/30 03:59:21 PM,5.52,25.68,Logged,,,
2,01/09/30 04:04:21 PM,215.99,17.29,,,,
3,01/09/30 04:09:21 PM,210.08,16.08,,,,
4,01/09/30 04:14:21 PM,209.43,15.96,,,,
5,01/09/30 04:19:21 PM,208.92,15.91,,,,
6,01/09/30 04:24:21 PM,208.77,15.91,,,,
7,01/09/30 04:29:21 PM,208.77,15.90,,,,
8,01/09/30 04:34:21 PM,208.61,15.91,,,,
9,01/09/30 04:39:21 PM,208.61,15.92,,,,
10,01/09/30 04:44:21 PM,208.61,15.92,,,,
11,01/09/30 04:49:21 PM,208.61,15.91,,,,
12,01/09/30 04:54:21 PM,208.69,15.92,,,,
13,01/09/30 04:59:21 PM,208.61,15.91,,,,
14,01/09/30 05:04:21 PM,208.61,15.91,,,,
15,01/09/30 05:09:21 PM,208.61,15.91,,,,
16,01/09/30 05:14:21 PM,208.61,15.91,,,,
17,01/09/30 05:19:21 PM,208.69,15.90,,,,
18,01/09/30 05:24:21 PM,208.69,15.90,,,,
19,01/09/30 05:29:21 PM,208.70,15.88,,,,
20,01/09/30 05:34:21 PM,208.69,15.90,,,,
21,01/09/30 05:39:21 PM,208.69,15.90,,,,
22,01/09/30 05:44:21 PM,208.69,15.90,,,,
23,01/09/30 05:49:21 PM,208.77,15.88,,,,
24,01/09/30 05:54:21 PM,208.69,15.90,,,,
25,01/09/30 05:59:21 PM,208.77,15.90,,,,
26,01/09/30 06:04:21 PM,208.77,15.90,,,,
27,01/09/30 06:09:21 PM,208.77,15.91,,,,
28,01/09/30 06:14:21 PM,208.77,15.90,,,,
29,01/09/30 06:19:21 PM,208.77,15.90,,,,
30,01/09/30 06:24:21 PM,208.69,15.90,,,,
